date,php-usd-rate,PSE-index-Open,PSE-index-High,PSE-index-Low,PSE-index-Close,PSE-index-Adj Close,PSE-index-Volume
30/07/2017,50.546,8075.720215,8079.700195,8046.759766,8071.470215,8071.470215,115600
31/07/2017,50.582,8068.660156,8070.040039,7953.470215,8018.049805,8018.049805,175300
01/08/2017,50.502,8015.680176,8017.180176,7906.600098,7906.600098,7906.600098,162200
02/08/2017,50.397,7936.890137,8037.910156,7872.649902,7872.649902,7872.649902,154400
03/08/2017,50.422,7897.839844,7946.310059,7862.109863,7876.660156,7876.660156,114100
04/08/2017,50.365,7918.910156,7960.799805,7918.029785,7932.819824,7932.819824,250700
05/08/2017,50.365,7918.910156,7960.799805,7918.029785,7932.819824,7932.819824,250700
06/08/2017,50.365,7918.910156,7960.799805,7918.029785,7932.819824,7932.819824,250700
07/08/2017,50.185,7955.370117,7992.27002,7955.100098,7992.27002,7992.27002,108700
08/08/2017,50.31,8030.069824,8039.049805,7986.509766,7986.509766,7986.509766,157000
09/08/2017,50.388,8007.25,8011.589844,7940.970215,7985.830078,7985.830078,148900
10/08/2017,50.621,7966.25,7966.25,7966.25,7966.25,7966.25,0
11/08/2017,50.688,7953.890137,7953.890137,7873.310059,7928.430176,7928.430176,108800
12/08/2017,50.688,7953.890137,7953.890137,7873.310059,7928.430176,7928.430176,108800
13/08/2017,50.688,7953.890137,7953.890137,7873.310059,7928.430176,7928.430176,108800
14/08/2017,51.009,7954.890137,7973.339844,7951.569824,7962.120117,7962.120117,105400
15/08/2017,50.983,8003.080078,8009.410156,7964.330078,8009.410156,8009.410156,139300
16/08/2017,51.217,8015.689941,8082.490234,7996.009766,8046.589844,8046.589844,152700
17/08/2017,51.438,8084.410156,8105.009766,8049.609863,8072.75,8072.75,117300
18/08/2017,51.301,8079,8079,8015.680176,8016.72998,8016.72998,78100
19/08/2017,51.301,8079,8079,8015.680176,8016.72998,8016.72998,78100
20/08/2017,51.301,8079,8079,8015.680176,8016.72998,8016.72998,78100
21/08/2017,51.301,8079,8079,8015.680176,8016.72998,8016.72998,80514400
22/08/2017,51.494,8018.140137,8026.310059,7969.740234,8015.930176,8015.930176,111500
23/08/2017,51.377,8027.970215,8028.899902,7998.75,7998.75,7998.75,87800
24/08/2017,51.202,8023.399902,8023.399902,7978.859863,8004.930176,8004.930176,75900
25/08/2017,51.05,8018.200195,8031.5,8009.720215,8015.140137,8015.140137,88900
26/08/2017,51.05,8018.200195,8031.5,8009.720215,8015.140137,8015.140137,88900
27/08/2017,51.05,8018.200195,8031.5,8009.720215,8015.140137,8015.140137,88900
28/08/2017,51.05,8018.200195,8031.5,8009.720215,8015.140137,8015.140137,88900
29/08/2017,51.095,8036.040039,8036.040039,7931.779785,7948.390137,7948.390137,113000
30/08/2017,51.159,7978.799805,7984.379883,7912.430176,7956.72998,7956.72998,102900
31/08/2017,51.166,7975.509766,7976.299805,7943.209961,7958.569824,7958.569824,195900
01/09/2017,51.166,7975.509766,7976.299805,7943.209961,7958.569824,7958.569824,195900
02/09/2017,51.166,7975.509766,7976.299805,7943.209961,7958.569824,7958.569824,195900
03/09/2017,51.166,7975.509766,7976.299805,7943.209961,7958.569824,7958.569824,195900
04/09/2017,51.171,8035.200195,8035.200195,8035.200195,8035.200195,8035.200195,0
05/09/2017,51.183,8038.279785,8049.350098,7995.129883,8049.350098,8049.350098,152700
06/09/2017,51.118,8025.240234,8027.220215,7972.620117,7983.970215,7983.970215,155800
07/09/2017,51.136,8003.830078,8025.740234,7994.830078,8022.97998,8022.97998,153000
08/09/2017,51.023,8044.600098,8048.509766,8018.910156,8022.75,8022.75,148000
09/09/2017,51.023,8044.600098,8048.509766,8018.910156,8022.75,8022.75,148000
10/09/2017,51.023,8044.600098,8048.509766,8018.910156,8022.75,8022.75,148000
11/09/2017,50.763,8036.930176,8055.629883,8012.549805,8049.310059,8049.310059,96300
12/09/2017,50.763,8036.930176,8055.629883,8012.549805,8049.310059,8049.310059,96300
13/09/2017,50.89,8097.27002,8103.680176,8047.040039,8053.879883,8053.879883,168400
14/09/2017,50.967,8073.240234,8169.640137,8071.759766,8144.910156,8144.910156,196500
15/09/2017,51.143,8141.390137,8180.850098,8104.950195,8180.850098,8180.850098,221100
16/09/2017,51.143,8141.390137,8180.850098,8104.950195,8180.850098,8180.850098,221100
17/09/2017,51.143,8141.390137,8180.850098,8104.950195,8180.850098,8180.850098,221100
18/09/2017,51.242,8185.240234,8294.139648,8155.939941,8294.139648,8294.139648,152700
19/09/2017,51.177,8299.80957,8299.849609,8162.700195,8162.700195,8162.700195,198000
20/09/2017,51.036,8201.69043,8250,8201.69043,8219.320313,8219.320313,123800
21/09/2017,50.887,8239.219727,8321.80957,8237.830078,8286.860352,8286.860352,191100
22/09/2017,51.086,8297.94043,8314.44043,8275.450195,8281.269531,8281.269531,97700
23/09/2017,51.086,8297.94043,8314.44043,8275.450195,8281.269531,8281.269531,97700
24/09/2017,51.086,8297.94043,8314.44043,8275.450195,8281.269531,8281.269531,97700
25/09/2017,50.856,8247.410156,8252.200195,8195.450195,8244.730469,8244.730469,136100
26/09/2017,50.629,8230.55957,8230.55957,8119.589844,8170.140137,8170.140137,380500
27/09/2017,50.83,8159.180176,8221.919922,8113.299805,8221.919922,8221.919922,445500
28/09/2017,50.969,8223.69043,8223.69043,8151.859863,8156.040039,8156.040039,176700
29/09/2017,51.073,8151.580078,8240.519531,8151.580078,8171.430176,8171.430176,171600
30/09/2017,51.073,8151.580078,8240.519531,8151.580078,8171.430176,8171.430176,171600
01/10/2017,51.073,8151.580078,8240.519531,8151.580078,8171.430176,8171.430176,171600
02/10/2017,50.83,8210.759766,8257.830078,8197.889648,8256.280273,8256.280273,110100
03/10/2017,51.036,8261.290039,8321.219727,8261.290039,8312.929688,8312.929688,112300
04/10/2017,51.178,8328.740234,8377.790039,8328.740234,8344.049805,8344.049805,96200
05/10/2017,50.951,8353.230469,8355.629883,8294.009766,8294.009766,8294.009766,86100
06/10/2017,51.018,8332.55957,8406.339844,8297.019531,8310.879883,8310.879883,109600
07/10/2017,51.018,8332.55957,8406.339844,8297.019531,8310.879883,8310.879883,109600
08/10/2017,51.018,8332.55957,8406.339844,8297.019531,8310.879883,8310.879883,109600
09/10/2017,51.118,8333.700195,8367.379883,8326.780273,8367.379883,8367.379883,59200
10/10/2017,51.164,8354.879883,8409.919922,8340.169922,8398.040039,8398.040039,79300
11/10/2017,51.308,8418.330078,8427.129883,8353.110352,8358.469727,8358.469727,156600
12/10/2017,51.467,8367.089844,8406.360352,8361.44043,8402.80957,8402.80957,111400
13/10/2017,51.385,8422.219727,8447.94043,8399.839844,8447.94043,8447.94043,132200
14/10/2017,51.385,8422.219727,8447.94043,8399.839844,8447.94043,8447.94043,132200
15/10/2017,51.385,8422.219727,8447.94043,8399.839844,8447.94043,8447.94043,132200
16/10/2017,51.385,8422.219727,8447.94043,8399.839844,8447.94043,8447.94043,132200
17/10/2017,51.482,8484.94043,8586.730469,8484.94043,8497.740234,8497.740234,174100
18/10/2017,51.293,8537.660156,8548.580078,8332.299805,8431.730469,8431.730469,129200
19/10/2017,51.387,8441.360352,8487.370117,8375.089844,8487.370117,8487.370117,85500
20/10/2017,51.463,8465.639648,8474.179688,8415.900391,8420.950195,8420.950195,78200
21/10/2017,51.463,8465.639648,8474.179688,8415.900391,8420.950195,8420.950195,78200
22/10/2017,51.463,8465.639648,8474.179688,8415.900391,8420.950195,8420.950195,78200
23/10/2017,51.508,8429.889648,8456.980469,8342.200195,8348.320313,8348.320313,94600
24/10/2017,51.507,8351.030273,8373.450195,8279.919922,8279.919922,8279.919922,88000
25/10/2017,51.513,8299.679688,8327.759766,8244.110352,8303.349609,8303.349609,106100
26/10/2017,51.718,8301.169922,8313.480469,8225.950195,8267.919922,8267.919922,78200
27/10/2017,51.741,8260.599609,8295.950195,8209.879883,8295.950195,8295.950195,72000
28/10/2017,51.741,8260.599609,8295.950195,8209.879883,8295.950195,8295.950195,72000
29/10/2017,51.741,8260.599609,8295.950195,8209.879883,8295.950195,8295.950195,72000
30/10/2017,51.799,8332.330078,8365.259766,8305.650391,8365.259766,8365.259766,66000
31/10/2017,51.799,8332.330078,8365.259766,8305.650391,8365.259766,8365.259766,66000
01/11/2017,51.799,8332.330078,8365.259766,8305.650391,8365.259766,8365.259766,66000
02/11/2017,51.686,8342.980469,8543.799805,8321.650391,8516.019531,8516.019531,153100
03/11/2017,51.488,8544.019531,8605.150391,8376.129883,8376.129883,8376.129883,163200
04/11/2017,51.488,8544.019531,8605.150391,8376.129883,8376.129883,8376.129883,163200
05/11/2017,51.488,8544.019531,8605.150391,8376.129883,8376.129883,8376.129883,163200
06/11/2017,51.27,8523.070313,8523.070313,8523.070313,8523.070313,8523.070313,0
07/11/2017,51.304,8521.80957,8521.80957,8521.80957,8521.80957,8521.80957,0
08/11/2017,51.235,8525.040039,8532.450195,8486.519531,8508.490234,8508.490234,0
09/11/2017,51.384,8515.400391,8563.509766,8506.769531,8519.820313,8519.820313,0
10/11/2017,51.273,8548.070313,8548.209961,8433.480469,8433.480469,8433.480469,101100
11/11/2017,51.273,8548.070313,8548.209961,8433.480469,8433.480469,8433.480469,101100
12/11/2017,51.273,8548.070313,8548.209961,8433.480469,8433.480469,8433.480469,101100
13/11/2017,51.239,8460.620117,8486.610352,8330.019531,8330.019531,8330.019531,0
14/11/2017,51.232,8349.610352,8379.639648,8280.429688,8379.639648,8379.639648,0
15/11/2017,51.142,8335.870117,8348.519531,8260.610352,8273.44043,8273.44043,0
16/11/2017,51.116,8211.030273,8332.94043,8206.44043,8206.44043,8206.44043,0
17/11/2017,50.913,8274.889648,8326.80957,8262.900391,8311.080078,8311.080078,101500
18/11/2017,50.913,8274.889648,8326.80957,8262.900391,8311.080078,8311.080078,101500
19/11/2017,50.913,8274.889648,8326.80957,8262.900391,8311.080078,8311.080078,101500
20/11/2017,50.816,8332.709961,8371.950195,8321.980469,8321.980469,8321.980469,0
21/11/2017,50.94,8339.80957,8340.629883,8289.19043,8289.19043,8289.19043,0
22/11/2017,50.797,8306.719727,8346.919922,8265.679688,8265.679688,8265.679688,0
23/11/2017,50.628,8291.860352,8343.230469,8278.509766,8343.230469,8343.230469,0
24/11/2017,50.614,8330.089844,8365.110352,8261.150391,8365.110352,8365.110352,123000
25/11/2017,50.614,8330.089844,8365.110352,8261.150391,8365.110352,8365.110352,123000
26/11/2017,50.614,8330.089844,8365.110352,8261.150391,8365.110352,8365.110352,123000
27/11/2017,50.685,8358.349609,8361.69043,8261.280273,8361.69043,8361.69043,0
28/11/2017,50.64,8341.769531,8341.769531,8254.25,8291.879883,8291.879883,0
29/11/2017,50.365,8272.070313,8304.379883,8213.650391,8254.030273,8254.030273,206300
30/11/2017,50.365,8272.070313,8304.379883,8213.650391,8254.030273,8254.030273,0
01/12/2017,50.346,8236.150391,8236.150391,8122.319824,8144.02002,8144.02002,153000
02/12/2017,50.346,8236.150391,8236.150391,8122.319824,8144.02002,8144.02002,153000
03/12/2017,50.346,8236.150391,8236.150391,8122.319824,8144.02002,8144.02002,153000
04/12/2017,50.321,8108.209961,8126.970215,8051.859863,8084.450195,8084.450195,0
05/12/2017,50.557,8093.629883,8149.220215,8085.439941,8093.629883,8093.629883,0
06/12/2017,50.59,8157.600098,8197.389648,8119.370117,8129.620117,8129.620117,0
07/12/2017,50.676,8128.060059,8174.930176,8109.569824,8174.930176,8174.930176,0
08/12/2017,50.741,8176.209961,8304.700195,8167.600098,8304.700195,8304.700195,115600
09/12/2017,50.741,8176.209961,8304.700195,8167.600098,8304.700195,8304.700195,115600
10/12/2017,50.741,8176.209961,8304.700195,8167.600098,8304.700195,8304.700195,115600
11/12/2017,50.572,8296.230469,8358.570313,8277.259766,8358.570313,8358.570313,0
12/12/2017,50.343,8346.269531,8362.280273,8311.679688,8334.05957,8334.05957,0
13/12/2017,50.435,8341.80957,8363.150391,8321.589844,8359.610352,8359.610352,0
14/12/2017,50.475,8366.599609,8461.05957,8344.019531,8461.05957,8461.05957,0
15/12/2017,50.398,8425.660156,8425.660156,8337.040039,8337.040039,8337.040039,220000
16/12/2017,50.398,8425.660156,8425.660156,8337.040039,8337.040039,8337.040039,220000
17/12/2017,50.398,8425.660156,8425.660156,8337.040039,8337.040039,8337.040039,220000
18/12/2017,50.488,8422.820313,8422.820313,8422.820313,8422.820313,8422.820313,0
19/12/2017,50.429,8422.089844,8422.769531,8348.879883,8365.959961,8365.959961,0
20/12/2017,50.462,8376.320313,8377.570313,8343.990234,8362.610352,8362.610352,0
21/12/2017,50.302,8371.910156,8378.280273,8323.009766,8378.280273,8378.280273,0
22/12/2017,50.194,8377.919922,8432.30957,8364.419922,8432.30957,8432.30957,45600
23/12/2017,50.194,8377.919922,8432.30957,8364.419922,8432.30957,8432.30957,45600
24/12/2017,50.194,8377.919922,8432.30957,8364.419922,8432.30957,8432.30957,45600
25/12/2017,50.194,8377.919922,8432.30957,8364.419922,8432.30957,8432.30957,45600
26/12/2017,50.194,8377.919922,8432.30957,8364.419922,8432.30957,8432.30957,45600
27/12/2017,50.245,8427.049805,8490.910156,8412.889648,8490.910156,8490.910156,0
28/12/2017,50.003,8474.990234,8571.459961,8468.19043,8535.089844,8535.089844,0
29/12/2017,49.923,8562.860352,8640.040039,8535.099609,8558.419922,8558.419922,165400
30/12/2017,49.923,8562.860352,8640.040039,8535.099609,8558.419922,8558.419922,165400
31/12/2017,49.923,8562.860352,8640.040039,8535.099609,8558.419922,8558.419922,165400
01/01/2018,49.923,8562.860352,8640.040039,8535.099609,8558.419922,8558.419922,165400
02/01/2018,49.923,8562.860352,8640.040039,8535.099609,8558.419922,8558.419922,165400
03/01/2018,49.958,8584.459961,8724.129883,8580.5,8724.129883,8724.129883,0
04/01/2018,49.857,8710,8760.259766,8690.339844,8739.830078,8739.830078,0
05/01/2018,49.879,8743.410156,8858.070313,8739.740234,8770,8770,153500
06/01/2018,49.879,8743.410156,8858.070313,8739.740234,8770,8770,153500
07/01/2018,49.879,8743.410156,8858.070313,8739.740234,8770,8770,153500
08/01/2018,49.769,8818.900391,8820.530273,8713.860352,8745.120117,8745.120117,0
09/01/2018,50,8758.959961,8923.719727,8755.400391,8923.719727,8923.719727,0
10/01/2018,50.232,8914.25,8926.780273,8877.980469,8920.290039,8920.290039,0
11/01/2018,50.381,8908.639648,8909,8745.629883,8813.25,8813.25,0
12/01/2018,50.378,8836.290039,8868.55957,8803.620117,8814.620117,8814.620117,122000
13/01/2018,50.378,8836.290039,8868.55957,8803.620117,8814.620117,8814.620117,122000
14/01/2018,50.378,8836.290039,8868.55957,8803.620117,8814.620117,8814.620117,122000
15/01/2018,50.301,8844.349609,8897.55957,8809.530273,8857.719727,8857.719727,0
16/01/2018,50.35,8890.740234,8969.179688,8865.129883,8865.129883,8865.129883,0
17/01/2018,50.454,8879.669922,8902.269531,8821.410156,8848.990234,8848.990234,0
18/01/2018,50.65,8790.049805,8822.400391,8772.450195,8820.740234,8820.740234,0
19/01/2018,50.755,8824.719727,8915.919922,8802.780273,8915.919922,8915.919922,120800
20/01/2018,50.755,8824.719727,8915.919922,8802.780273,8915.919922,8915.919922,120800
21/01/2018,50.755,8824.719727,8915.919922,8802.780273,8915.919922,8915.919922,120800
22/01/2018,50.689,8893.139648,8975.120117,8883,8950.620117,8950.620117,0
23/01/2018,50.835,8952.80957,8999.019531,8916.070313,8999.019531,8999.019531,0
24/01/2018,51.008,8992.370117,8992.370117,8898.209961,8920.230469,8920.230469,0
25/01/2018,51.021,8907.450195,8999.169922,8907.240234,8999.169922,8999.169922,0
26/01/2018,50.819,8995.610352,9041.200195,8945.320313,9041.200195,9041.200195,113200
27/01/2018,50.819,8995.610352,9041.200195,8945.320313,9041.200195,9041.200195,113200
28/01/2018,50.819,8995.610352,9041.200195,8945.320313,9041.200195,9041.200195,113200
29/01/2018,50.885,9061.75,9078.370117,9008.410156,9058.620117,9058.620117,0
30/01/2018,51.04,9025.290039,9025.290039,8838.69043,8910.480469,8910.480469,0
31/01/2018,51.421,8831.830078,8831.830078,8721.849609,8764.009766,8764.009766,0
01/02/2018,51.341,8738.719727,8738.719727,8738.719727,8738.719727,8738.719727,0
02/02/2018,51.491,8746.860352,8810.75,8746.860352,8810.75,8810.75,142600
03/02/2018,51.491,8746.860352,8810.75,8746.860352,8810.75,8810.75,142600
04/02/2018,51.491,8746.860352,8810.75,8746.860352,8810.75,8810.75,142600
05/02/2018,51.656,8680.589844,8680.589844,8555.549805,8616,8616,0
06/02/2018,51.549,8475.080078,8550.419922,8379.830078,8550.419922,8550.419922,0
07/02/2018,51.55,8648,9700.55957,8603.179688,8667.55957,8667.55957,0
08/02/2018,51.207,8679.370117,8679.370117,8601.530273,8645.080078,8645.080078,0
09/02/2018,51.303,8545.879883,8546.019531,8421.740234,8503.69043,8503.69043,110800
10/02/2018,51.303,8545.879883,8546.019531,8421.740234,8503.69043,8503.69043,110800
11/02/2018,51.303,8545.879883,8546.019531,8421.740234,8503.69043,8503.69043,110800
12/02/2018,51.651,8533.799805,8554.509766,8460.55957,8487.910156,8487.910156,0
13/02/2018,51.651,8514.05957,8570.139648,8476.459961,8570.139648,8570.139648,0
